name,tweets analyzed,movTweetCounter,movieTermCount,total retweets,positive percentage,positive retweets,negative percentage,negative retweets,neutral tweets
Redemption,12,0,0,1,75.0,1,8.333333333333334,0,16.666666666666668
The Kings of Summer,4,0,0,0,25.0,0,0.0,0,75.0
Short Term 12,15,0,0,0,66.66666666666667,0,6.666666666666667,0,26.666666666666668
Blue Jasmine,5,0,0,0,60.0,0,0.0,0,40.0
The World's End,4,0,0,1,75.0,1,0.0,0,25.0
Frances Ha,13,0,0,2,38.46153846153846,0,23.076923076923077,2,38.46153846153846
You're Next,9,0,0,1,33.333333333333336,1,11.11111111111111,0,55.55555555555556
The Mortal Instruments: City of Bones,2,0,0,2,50.0,0,0.0,0,50.0
Paranoia,12,0,0,0,25.0,0,41.666666666666664,0,33.333333333333336
Ain't Them Bodies Saints,0,0,0,0,0.0,0,0.0,0,0.0
Jobs,12,0,0,1,33.333333333333336,1,16.666666666666668,0,50.0
Lee Daniels' The Butler,1,0,0,0,0.0,0,0.0,0,100.0
Kick-Ass 2,9,0,0,1,33.333333333333336,0,11.11111111111111,1,55.55555555555556
To the Wonder,9,0,0,0,66.66666666666667,0,22.22222222222222,0,11.11111111111111
Planes,13,0,0,0,46.15384615384615,0,15.384615384615385,0,38.46153846153846
Elysium,14,0,0,1,21.428571428571427,0,7.142857142857143,0,71.42857142857143
Percy Jackson: Sea of Monsters,11,0,0,1,45.45454545454545,1,18.181818181818183,0,36.36363636363637
We're the Millers,12,0,0,0,41.666666666666664,0,8.333333333333334,0,50.0
The Canyons,3,0,0,0,66.66666666666667,0,0.0,0,33.333333333333336
2 Guns,13,0,0,0,53.84615384615385,0,23.076923076923077,0,23.076923076923077
The Smurfs 2,2,0,0,0,0.0,0,50.0,0,50.0
Fruitvale Station,7,0,0,8,0.0,0,0.0,0,100.0
The To Do List,12,0,0,0,41.666666666666664,0,33.333333333333336,0,25.0
The Way Way Back,10,0,0,0,50.0,0,40.0,0,10.0
The Wolverine,14,0,0,0,64.28571428571429,0,28.571428571428573,0,7.142857142857143
Drinking Buddies,8,0,0,0,37.5,0,62.5,0,0.0
R.I.P.D.,4,0,0,7,25.0,0,0.0,0,75.0
RED 2,8,0,0,2,50.0,2,12.5,0,37.5
The Conjuring,13,0,0,0,46.15384615384615,0,23.076923076923077,0,30.76923076923077
Not Fade Away,9,0,0,1,44.44444444444444,1,11.11111111111111,0,44.44444444444444
